site_name,lat,long,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
Aspen Park,39.541515,-105.29841,0.03613658064516129,0.03718096428571428,0.04222393548387097,0.04661527586206896,0.04502278571428571,0.045673413793103454,0.05072483870967742,0.04801466666666667,0.03964089655172414,0.029714499999999998,0.03511966666666667,0.03252731034482759,0.036422857142857146,0.03878007407407407,0.0411901,0.0421882,0.040500999999999995,0.0436862,0.04326033333333333,0.0457942,0.045340285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora East,39.638522,-104.56933500000001,,,,,,,,,,,,,,0.03461,,,,,,,,,,,,,,,,,,,,,,,,0.034348555555555556,,,,,,,,,,,,,,,,,,,,,
Aurora East,39.638522,-104.569335,0.0339138,0.035423115384615386,0.04328438709677419,0.04543726666666667,0.04759393548387097,,,0.049241129032258066,0.039178399999999995,0.03083867741935484,0.032318318181818184,0.03345175,0.036434857142857144,,0.04200193333333333,0.0441962,0.04309536666666667,0.047449,0.04723151612903226,0.04984025806451613,,0.03647441935483871,0.031851136363636366,0.03584944,0.03600476,,0.03894796153846154,,0.04344596774193548,0.0458706,0.046229433333333333,0.052292200000000004,0.042189000000000004,0.03469803333333333,0.03273326666666667,0.03185921428571429,0.03267846666666667,,0.04211761290322581,0.0423902,0.04145264516129032,0.04853646666666667,0.05707353571428571,0.054345387096774195,0.04865967857142857,0.03976661290322581,0.034699999999999995,0.03592746666666667,0.03646493548387097,0.040829892857142856,0.04174003225806452,,0.04538309375,,0.05052435483870968,0.05038516129032258,,,
Aurora East,39.63852200000001,-104.569335,,,,,,0.04961275862068965,0.05310755172413793,,,,,,,,,,,,,,0.04401820689655172,,,,,0.04106896551724138,,0.04368758620689655,,,,,,,,,,,,,,,,,,,,,,,,0.04583775862068966,,0.04822110344827586,,,0.04308320689655173,,
Battlement Mesa,39.43806,-108.02611,0.02472111111111111,0.033965749999999996,0.037847958333333334,0.045247136363636364,0.046300724137931036,0.04478433333333333,0.046616419354838706,0.04425193548387097,0.035661678571428566,0.026337741935483872,0.02584506666666667,0.02664707142857143,0.0302079,0.03982346153846154,0.037684433333333336,0.041375520000000006,0.0420855,0.04009015789473684,0.03810393333333333,0.04125127586206897,0.03911376666666667,0.03589561290322581,0.03177089655172414,0.026988233333333334,0.030792133333333336,0.03743613793103448,0.03738146428571428,0.04253913333333333,0.04488441379310344,0.043407799999999996,0.04077987096774193,0.048571931034482756,0.0387785,0.035924000000000005,0.030705413793103452,0.028615733333333334,0.03424287096774194,0.03635296428571429,0.038955448275862066,0.042139166666666665,0.042419827586206896,0.04195175,0.0492764,0.045056793103448275,0.039933034482758624,0.03009674193548387,0.026005966666666665,0.030914793103448277,,,,,,,,,,,
Black Hawk,39.792519,-105.49127,,,,,,,,,,,,,,,,,,,,0.051647125,0.047137233333333334,0.040201193548387096,0.04004785185185185,0.04429796666666667,0.04500383870967742,0.044969620689655175,0.044381387096774194,,,0.04659406666666666,0.045730516129032256,,0.046219840000000005,0.04068309677419355,0.0406765,0.0401607,0.04053132258064516,0.04248362962962963,0.04639826666666667,0.04725551724137931,0.044753290322580644,0.048856833333333335,0.057166967741935484,0.0528121935483871,0.05046276666666667,0.0422765,0.04010958620689655,,0.044244700000000005,,0.044054935483870974,0.04755496666666667,0.04518043333333333,0.04736713793103448,0.04638890322580645,0.04949161290322581,0.04439758620689655,,
Black Hawk,39.792519000000006,-105.49127,,,,,,,,,,,,,,,,,,,0.04624364285714285,,,,,,,,,0.048624214285714285,0.047506285714285716,,,0.05412182142857143,,,,,,,,,,,,,,,,0.042432750000000005,,0.04430253571428572,,,,,,,,,
Boulder Reservoir,40.070016,-105.22023800000001,0.025404633333333333,,,,0.04502353333333333,,,,0.0392823,,0.02920973333333333,,,,,,,,0.04510003333333334,,,0.030645099999999998,0.0262254,0.0250824,,,,,,0.04400843333333333,,0.051040833333333334,,,0.02911103333333333,,,,0.04126863333333333,,0.038931466666666664,0.04766076666666667,0.0548792,,,,,,0.028764699999999997,,,0.0449098,,,,,,,
Boulder Reservoir,40.070016,-105.220238,,0.033185185185185186,0.03925993548387097,0.04320485185185185,,0.0474288275862069,0.05186722580645161,0.050075903225806455,,0.0295718,,0.02500410344827586,0.027131,0.028666703703703705,0.039332064516129035,0.04120779310344827,0.039278129032258066,0.045886482758620686,,0.04666983870967742,0.04179713793103448,,,,0.0316958275862069,0.03779106896551725,0.03538525806451613,,0.042623857142857144,,0.04594503225806452,,0.03921788888888889,0.030741838709677418,,0.027928111111111112,0.028626193548387097,0.03358388888888889,,0.041803206896551724,,,,0.05163948387096774,0.04689257142857143,0.03505306451612904,0.031565862068965514,0.032251586206896554,,0.037264678571428574,0.03831506451612903,,0.04312134482758621,0.04699371428571429,0.046867193548387094,0.04707506896551725,0.038004,,
Boulder Reservoir,40.070016,-105.22023799999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04257246153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
