,site_number,sample_measurement,sample_measurement,sample_measurement
,,daily_avg,daily_max,mda8
date_time,,,,
2018-01-01,0002,0.004,0.016,0.013000000000000001
2018-01-02,0002,0.016978723404255318,0.045,0.037375
2018-01-03,0002,0.020479166666666666,0.046,0.0335
2018-01-04,0002,0.018291666666666668,0.045,0.03937499999999999
2018-01-05,0002,0.012354166666666666,0.039,0.020875
2018-01-06,0002,0.009479166666666667,0.038,0.018250000000000002
2018-01-07,0002,0.018083333333333333,0.042,0.037500000000000006
2018-01-08,0002,0.00725,0.035,0.021500000000000002
2018-01-09,0002,0.017083333333333336,0.036,0.028625
2018-01-10,0002,0.014608695652173913,0.037,0.022625
2018-01-11,0002,0.021708333333333333,0.045,0.039375
2018-01-12,0002,0.019583333333333335,0.041,0.03275
2018-01-13,0002,0.01897916666666667,0.046,0.039625
2018-01-14,0002,0.020583333333333332,0.047,0.042374999999999996
2018-01-15,0002,0.0314375,0.042,0.037375
2018-01-16,0002,0.016604166666666666,0.043,0.036500000000000005
2018-01-17,0002,0.0205,0.043,0.035375
2018-01-18,0002,0.0263125,0.045,0.033375
2018-01-19,0002,0.021750000000000002,0.039,0.032
2018-01-20,0002,0.020895833333333332,0.038,0.027249999999999996
2018-01-21,0002,0.0278125,0.04,0.036500000000000005
2018-01-22,0002,0.029812500000000002,0.045,0.039625
2018-01-23,0002,0.029553191489361703,0.049,0.043375000000000004
2018-01-24,0002,0.023075000000000002,0.045,0.0365
2018-01-25,0002,0.02821875,0.044,0.037375
2018-01-26,0002,0.025875,0.04,0.03333333333333333
2018-01-27,0002,0.029104166666666667,0.047,0.0425
2018-01-28,0002,0.0235531914893617,0.044,0.040874999999999995
2018-01-29,0002,0.019791666666666666,0.045,0.035875
2018-01-30,0002,0.026979166666666665,0.045,0.034875
2018-01-31,0002,0.0200625,0.042,0.034875
2018-02-01,0002,0.020704545454545455,0.04,0.037125
2018-02-02,0002,0.006229166666666667,0.03,0.014875000000000001
2018-02-03,0002,0.036708333333333336,0.052,0.048
2018-02-04,0002,0.014458333333333332,0.038,0.038125
