site_name,lat,long,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
Aspen Park,39.541515,-105.29841,0.03613658064516129,0.03718096428571428,0.04222393548387097,0.04661527586206896,0.04502278571428571,0.045673413793103454,0.05072483870967742,0.04801466666666667,0.03964089655172414,0.029714499999999998,0.03511966666666667,0.03252731034482759,0.036422857142857146,0.03878007407407407,0.0411901,0.0421882,0.040500999999999995,0.0436862,0.04326033333333333,0.0457942,0.045340285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora East,39.638522,-104.56933500000001,,,,,,,,,,,,,,0.03461,,,,,,,,,,,,,,,,,,,,,,,,0.034348555555555556,,,,,,,,,,,,,,,,,,,
Aurora East,39.638522,-104.569335,0.0339138,0.035423115384615386,0.04328438709677419,0.04543726666666667,0.04759393548387097,,,0.049241129032258066,0.039178399999999995,0.03083867741935484,0.032318318181818184,0.03345175,0.036434857142857144,,0.04200193333333333,0.0441962,0.04309536666666667,0.047449,0.04723151612903226,0.04984025806451613,,0.03647441935483871,0.031851136363636366,0.03584944,0.03600476,,0.03894796153846154,,0.04344596774193548,0.0458706,0.046229433333333333,0.052292200000000004,0.042189000000000004,0.03469803333333333,0.03273326666666667,0.03185921428571429,0.03267846666666667,,0.04211761290322581,0.0423902,0.04145264516129032,0.04853646666666667,0.05707353571428571,0.054345387096774195,0.04865967857142857,0.03976661290322581,0.034699999999999995,0.03592746666666667,0.03646493548387097,0.040829892857142856,0.04174003225806452,,0.04538309375,,0.05052435483870968,0.05038516129032258,
Aurora East,39.63852200000001,-104.569335,,,,,,0.04961275862068965,0.05310755172413793,,,,,,,,,,,,,,0.04401820689655172,,,,,0.04106896551724138,,0.04368758620689655,,,,,,,,,,,,,,,,,,,,,,,,0.04583775862068966,,0.04822110344827586,,,0.04308320689655173
Boulder Reservoir,40.070016,-105.22023800000001,0.025404633333333333,,,,0.04502353333333333,,,,0.0392823,,0.02920973333333333,,,,,,,,0.04510003333333334,,,0.030645099999999998,0.0262254,0.0250824,,,,,,0.04400843333333333,,0.051040833333333334,,,0.02911103333333333,,,,0.04126863333333333,,0.038931466666666664,0.04766076666666667,0.0548792,,,,,,0.028764699999999997,,,0.0449098,,,,,
Boulder Reservoir,40.070016,-105.220238,,0.033185185185185186,0.03925993548387097,0.04320485185185185,,0.0474288275862069,0.05186722580645161,0.050075903225806455,,0.0295718,,0.02500410344827586,0.027131,0.028666703703703705,0.039332064516129035,0.04120779310344827,0.039278129032258066,0.045886482758620686,,0.04666983870967742,0.04179713793103448,,,,0.0316958275862069,0.03779106896551725,0.03538525806451613,,0.042623857142857144,,0.04594503225806452,,0.03921788888888889,0.030741838709677418,,0.027928111111111112,0.028626193548387097,0.03358388888888889,,0.041803206896551724,,,,0.05163948387096774,0.04689257142857143,0.03505306451612904,0.031565862068965514,0.032251586206896554,,0.037264678571428574,0.03831506451612903,,0.04312134482758621,0.04699371428571429,0.046867193548387094,0.04707506896551725,0.038004
Boulder Reservoir,40.070016,-105.22023799999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04257246153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER - CAMP,39.751184,-104.987625,0.014378333333333333,0.018617607142857144,0.030823032258064514,0.0376382962962963,0.03923151612903226,,0.047169,0.043549,0.031022633333333334,0.018980466666666664,0.018840285714285716,0.01689985185185185,0.015659607142857142,0.01771459259259259,0.028871,0.0343588,0.033962483870967744,0.0410539,0.0423392,0.044243387096774195,0.03486274074074074,0.023143166666666666,0.0143901,0.014607866666666667,0.020120607142857145,0.024565333333333335,0.028454966666666668,,0.03767922580645161,,,0.047258428571428576,0.03314123333333333,0.022778064516129033,,,0.017066451612903225,0.020191703703703705,0.02783536666666667,0.031575185185185185,0.03221842857142857,0.0428138,0.052453548387096774,,0.038317566666666664,0.02662816129032258,0.020114833333333335,0.018547033333333334,0.015476322580645161,0.02213867857142857,0.025879545454545457,0.0370569,0.03951996774193549,0.044723533333333336,0.04719167741935484,,0.03500440740740741
DENVER - CAMP,39.75118400000001,-104.987625,,,,,,0.04209934482758621,,,,,,,,,,,,,,,,,,,,,,0.03550503448275862,,0.038687689655172414,0.04228003448275862,,,,0.019190724137931034,0.01832051724137931,,,,,,,,0.04752255172413793,,,,,,,,,,,,0.04807396551724138,
Evergreen,39.620408,-105.33872000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033728,,,,,,,,,,,,,,,,,,,,,
